clasificador,n_estimators,max_depth,max_features,bootstrap,weight_color,f1_score
RF,50,,sqrt,True,0.2,0.6681051181855838
RF,50,,sqrt,True,0.3,0.6694459012052734
RF,50,,sqrt,True,0.4,0.671561490002618
RF,50,,sqrt,True,0.5,0.6723398965410305
RF,50,,sqrt,True,0.6,0.664239989122615
RF,50,,sqrt,True,0.7,0.6590923218394851
RF,50,,sqrt,True,0.8,0.6461435829554312
RF,50,,sqrt,False,0.2,0.686608029752997
RF,50,,sqrt,False,0.3,0.6908344289685652
RF,50,,sqrt,False,0.4,0.6912305148171898
RF,50,,sqrt,False,0.5,0.6860989100616189
RF,50,,sqrt,False,0.6,0.6862366357607312
RF,50,,sqrt,False,0.7,0.678255217271116
RF,50,,sqrt,False,0.8,0.6611911517006341
RF,50,,log2,True,0.2,0.6787018708452754
RF,50,,log2,True,0.3,0.6771196585726861
RF,50,,log2,True,0.4,0.6755310291872876
RF,50,,log2,True,0.5,0.6721927195377686
RF,50,,log2,True,0.6,0.6639573468970292
RF,50,,log2,True,0.7,0.6554028249808925
RF,50,,log2,True,0.8,0.6433642754493465
RF,50,,log2,False,0.2,0.6811597573642564
RF,50,,log2,False,0.3,0.684353191841714
RF,50,,log2,False,0.4,0.6863685894685704
RF,50,,log2,False,0.5,0.6773123857970431
RF,50,,log2,False,0.6,0.6714428765536103
RF,50,,log2,False,0.7,0.6611276944162057
RF,50,,log2,False,0.8,0.6469669010174496
RF,50,,0.5,True,0.2,0.6747891336056455
RF,50,,0.5,True,0.3,0.6767170805722921
RF,50,,0.5,True,0.4,0.6806636332498427
RF,50,,0.5,True,0.5,0.6833861946075755
RF,50,,0.5,True,0.6,0.6794449821284094
RF,50,,0.5,True,0.7,0.6708548168839987
RF,50,,0.5,True,0.8,0.653617680689789
RF,50,,0.5,False,0.2,0.6764531813871353
RF,50,,0.5,False,0.3,0.6837961193065744
RF,50,,0.5,False,0.4,0.6866415579421086
RF,50,,0.5,False,0.5,0.6882104421670889
RF,50,,0.5,False,0.6,0.6863748441253936
RF,50,,0.5,False,0.7,0.6747234442859407
RF,50,,0.5,False,0.8,0.6557424732350423
RF,50,10.0,sqrt,True,0.2,0.5190428181237594
RF,50,10.0,sqrt,True,0.3,0.5327671095342734
RF,50,10.0,sqrt,True,0.4,0.5386965041911903
RF,50,10.0,sqrt,True,0.5,0.5419114095047555
RF,50,10.0,sqrt,True,0.6,0.5510369772234464
RF,50,10.0,sqrt,True,0.7,0.5472648110007021
RF,50,10.0,sqrt,True,0.8,0.5370978233220112
RF,50,10.0,sqrt,False,0.2,0.5512387142643422
RF,50,10.0,sqrt,False,0.3,0.5603202152235686
RF,50,10.0,sqrt,False,0.4,0.565889570074702
RF,50,10.0,sqrt,False,0.5,0.5673543242007735
RF,50,10.0,sqrt,False,0.6,0.5663203226866064
RF,50,10.0,sqrt,False,0.7,0.563402895387573
RF,50,10.0,sqrt,False,0.8,0.5569433749930337
RF,50,10.0,log2,True,0.2,0.48297153367656503
RF,50,10.0,log2,True,0.3,0.49579093976959177
RF,50,10.0,log2,True,0.4,0.4985919867050138
RF,50,10.0,log2,True,0.5,0.5071387839615447
RF,50,10.0,log2,True,0.6,0.5027046293974569
